entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
1.3,1.4,46297.60118544609,303,-45418.74827435281,-0.1,False
1.3,1.5,-72310.82880911892,186,-92213.17702501883,-0.2,False
1.3,1.6,-77402.26808783339,126,-119486.21100438363,-0.3,False
1.3,1.7,-66823.33938761684,101,-111040.81258048414,-0.4,False
1.3,1.8,-67937.54618620075,79,-118588.76651533059,-0.5,False
1.3,1.9,-70755.88352271324,59,-120276.12665553276,-0.6,False
1.3,2.0,-84486.87902514182,48,-137626.10324453237,-0.7,False
1.3,2.1,-95721.80545320165,38,-147892.6729129255,-0.8,False
1.3,2.2,-54538.18537378333,22,-97054.39160264775,-0.9,False
1.3,2.3,-55630.35589527447,20,-98146.5621241389,-1.0,False
1.3,2.4,-58047.731084725216,13,-100563.93731358965,-1.1,False
1.3,2.5,-47540.64480872606,8,-90056.85103759047,-1.2,False
1.4,0.0,136377.34583620253,46,-47303.90097487724,1.4,True
1.4,0.1,139565.88738345407,49,-47303.90097487724,1.3,True
1.4,0.2,148163.31608604657,52,-47303.90097487724,1.2,True
1.4,0.3,158276.0754758521,58,-47303.90097487724,1.1,True
1.4,0.4,185598.76387089453,67,-39370.10671239425,1.0,True
1.4,0.5,191188.6362624996,75,-40830.95844372889,0.9,True
1.4,0.6,199402.53509075375,85,-39907.066764507006,0.8,True
1.4,0.7,201392.2839182943,98,-41362.51967331808,0.7,True
1.4,0.8,227222.24667777386,115,-36440.87726078872,0.6,True
1.4,0.9,264109.92748174723,140,-34874.760745807085,0.5,True
1.4,1.0,300982.2114458544,180,-27864.75336024468,0.4,True
1.4,1.1,329022.0646439643,233,-25853.80050602235,0.3,True
1.4,1.2,335258.25614455756,302,-25853.80050602235,0.2,True
1.4,1.3,342425.06011587195,424,-24028.09324089912,0.1,True
1.4,1.4,263112.36730111117,627,-24456.055080193008,0.0,False
1.4,1.5,-59745.54404969996,271,-89214.39345161295,-0.1,False
1.4,1.6,-40345.82992127277,139,-83537.05686216953,-0.2,False
1.4,1.7,-29941.34224110507,113,-79967.45704976944,-0.3,False
1.4,1.8,-40468.76236539848,85,-93380.60452468766,-0.4,False
1.4,1.9,-46194.01217803698,60,-99708.1735417426,-0.5,False
1.4,2.0,-64390.79513616281,46,-119619.9842742568,-0.6,False
1.4,2.1,-82014.95692003692,39,-136086.82444528784,-0.7,False
1.4,2.2,-47201.632956208676,22,-89717.8391850731,-0.8,False
1.4,2.3,-49478.838182287494,20,-91995.04441115193,-0.9,False
1.4,2.4,-53918.586131152944,13,-96434.79236001737,-1.0,False
1.4,2.5,-44320.28977522826,8,-86836.49600409268,-1.1,False
1.5,0.0,113013.14216948068,40,-47303.90097487724,1.5,True
1.5,0.1,118227.76674826742,43,-47303.90097487724,1.4,True
1.5,0.2,125490.24674757672,45,-47303.90097487724,1.3,True
1.5,0.3,133727.13955776877,50,-47303.90097487724,1.2,True
1.5,0.4,162426.29544644264,58,-39370.10671239425,1.1,True
1.5,0.5,159183.33977013847,61,-40830.95844372889,1.0,True
1.5,0.6,169324.7120237416,70,-39907.066764507035,0.9,True
1.5,0.7,176051.75414233457,82,-41362.51967331808,0.8,True
1.5,0.8,208741.5455096868,97,-35374.72647244838,0.7,True
1.5,0.9,231985.86182651398,115,-37675.99455881599,0.6,True
1.5,1.0,269270.17355822533,145,-35286.865644388396,0.5,True
